,ctrl_Prom1,ctrl_Prom2,ctrl_Rep,ctrl_Neu,ctrl_Alt,treated_Prom1,treated_Prom2,treated_Rep,treated_Neu
Nfkbia,0,1,0,1,1,0,1,0,1
Dbf4,0,0,0,0,0,1,0,0,0
Tshr,0,0,0,0,0,1,1,0,0
E2f1,0,0,1,0,0,0,0,1,0
Lbp,0,0,0,0,0,1,1,0,0
Isyna1,0,0,1,0,0,1,0,1,0
Srebf1,0,0,1,0,0,0,0,1,0
Ccne1,0,0,1,0,0,1,0,1,0
Fas,0,0,0,1,1,1,1,0,1
Tcp1,0,0,1,0,0,0,0,1,0
Sp1,0,0,1,0,0,0,0,1,0
Ncl,0,0,1,0,0,1,0,1,0
Cks2,0,0,0,0,0,1,1,0,0
Gmnn,0,0,1,0,0,0,0,1,0
Myb,0,0,0,0,0,0,0,0,0
Tcf7l2,0,0,1,0,0,1,0,1,0
App,0,0,1,0,0,1,0,1,0
Stat3,0,0,0,0,0,1,1,0,0
Mdm2,0,0,0,0,0,1,1,0,0
Hmgcr,0,0,1,0,0,1,0,1,0
Thrap3,0,0,1,0,0,1,1,1,0
Mcm5,0,0,1,0,0,1,0,1,0
Tmpo,0,0,1,0,0,0,0,1,0
Cbx3,0,0,1,0,0,0,0,1,0
Hells,0,0,1,0,0,1,0,1,0
Vdr,0,1,0,1,1,0,1,0,1
Lef1,0,0,1,0,0,0,0,1,0
Ada,0,0,0,1,0,1,1,1,1
Ceacam1,0,1,0,1,1,1,1,0,1
Cebpb,0,0,1,1,1,0,1,1,1
Mcm6,0,0,1,0,0,0,0,1,0
Ybx3,0,0,1,0,0,1,0,1,0
Snai2,0,0,1,0,0,1,0,1,0
Rrm1,0,0,1,0,0,1,0,1,0
Ung,0,0,1,0,0,1,0,1,0
Atp1a3,0,1,1,1,1,1,1,1,1
Ctsd,0,1,0,1,1,0,0,0,1
Pold1,0,0,1,0,0,1,0,1,0
Bcl2l11,0,0,0,0,0,1,1,0,0
Smad3,0,0,0,0,0,0,0,0,0
Mat2a,0,0,1,0,0,0,0,1,0
Vcam1,0,0,0,0,0,1,1,0,0
Hmgcs1,0,0,1,0,0,0,0,1,0
Cdc6,0,0,1,0,0,1,0,1,0
Mycn,0,0,1,0,0,1,0,1,0
Stim1,0,0,0,0,0,1,1,0,0
Rhob,0,0,0,0,0,1,1,0,0
Cdc25a,0,0,1,0,0,1,1,1,0
Car9,0,1,1,0,0,0,0,0,0
Hsp90b1,0,0,1,0,0,1,1,0,0
Sel1l,0,0,0,0,0,1,0,0,0
Tbx21,0,0,0,0,0,1,1,1,1
Pcna,0,0,1,0,0,1,0,1,0
Ets1,0,0,0,0,0,1,1,1,1
Wt1,0,0,0,0,0,1,1,1,1
Igf2r,0,0,0,0,0,1,1,0,0
Rrm2,0,0,1,0,0,1,0,1,0
Ect2,0,0,0,0,0,1,1,0,0
E2f2,0,0,1,1,1,1,1,1,1
Nap1l1,0,0,1,0,0,1,0,1,0
Plaur,0,1,0,1,1,0,1,0,1
Trp53,0,1,0,1,1,1,1,0,1
Rad51,0,0,1,0,0,0,0,1,0
Apobr,0,1,0,1,1,1,1,0,1
Rela,0,0,0,0,0,1,1,1,1
Pou5f1,0,0,1,0,1,0,0,0,0
Ppat,0,0,1,0,0,1,0,1,0
Nme1,0,0,1,0,0,0,0,1,0
Jund,0,1,1,1,1,0,0,1,1
Csf3r,0,0,0,0,0,1,1,0,0
Ebi3,0,0,0,0,0,1,1,1,1
Dnmt1,0,0,1,0,0,0,0,1,0
Mcm4,0,0,1,0,0,0,0,1,0
Tnfrsf18,0,1,0,1,1,1,1,0,1
Uhrf1,0,0,1,0,0,0,0,1,0
Dhfr,0,0,1,0,0,0,0,1,0
Egr1,0,0,1,0,0,0,0,0,0
Nfkb1,0,1,0,1,1,0,1,0,1
Tk1,0,0,1,0,0,0,0,1,0
Hspa4,0,0,1,0,0,0,0,1,0
Tal1,0,0,1,0,0,0,0,1,0
Rora,0,0,1,0,0,0,1,0,0
Ctcf,0,0,1,0,0,0,0,1,0
Cdt1,0,0,1,0,0,0,0,1,0
Per3,0,0,0,0,0,1,1,0,0
Plk4,0,0,1,0,0,0,0,1,0
Ptgds,1,1,0,0,0,0,0,0,0
Gstm2,1,1,0,0,0,1,1,0,0
Map4,1,1,1,1,1,0,0,1,1
Ccnb1,1,0,0,0,0,1,1,0,0
Sp3,1,0,1,0,0,0,0,1,0
Nars1,1,0,1,0,0,1,0,1,0
Insig1,1,0,0,0,0,0,0,0,0
Zeb2,1,1,0,0,0,1,1,0,0
Plk1,1,0,0,0,0,1,1,0,0
Nt5e,1,1,1,0,0,0,0,0,0
Ldlr,1,0,0,0,0,0,0,0,0
Bach1,1,1,0,0,0,1,1,0,0
Rrp1b,1,0,1,0,0,0,0,1,0
Gnl3,1,0,1,0,0,1,0,1,0
Rcc1,1,0,1,0,0,0,0,1,0
Asf1b,1,0,1,0,0,0,0,1,0
Cdc25b,1,1,0,0,0,1,1,0,0
Pparg,1,0,1,0,0,1,0,1,0
Tfrc,1,0,1,0,0,1,0,1,0
Birc5,1,0,1,0,0,1,1,1,0
Pttg1,1,0,0,0,0,1,1,0,0
Myc,1,0,1,0,0,1,0,1,0
Adam17,1,1,0,0,0,1,1,0,0
Ezh2,1,0,1,0,0,1,0,1,0
Hhex,1,1,0,0,0,1,1,0,0
Hmox1,1,1,0,1,1,0,1,0,1
Apex1,1,0,1,0,0,0,0,1,0
Ar,1,1,1,1,1,0,0,0,0
Ndrg1,1,1,1,1,1,0,0,1,1
Hspa5,1,0,1,0,0,0,0,1,0
Dbp,1,1,0,0,0,1,1,0,0
Lrrc59,1,0,1,0,0,1,0,1,0
Srm,1,0,1,0,0,1,0,1,0
H2-Q10,1,1,0,1,1,1,1,0,1
Cdkn2c,1,0,1,0,0,0,0,1,0
